Lat,Long,City,Country,Max Temp,Humidity,Cloud Cover,Wind Speed,Date
-15.93569824,-61.08987966,san ignacio,bo,79.05,79,64,4.16,1513783808
-69.68647914,-84.07650098,punta arenas,cl,50,53,20,47.2,1513782000
8.419976817,136.3725068,airai,pw,,,,,
61.5922739,-131.8437961,whitehorse,ca,8.6,78,20,11.41,1513782000
64.21247895,-177.1112215,egvekinot,ru,9.3,78,68,3.15,1513783808
28.54497815,14.65133237,hun,ly,58.17,91,92,5.39,1513783809
5.511463448,-11.13390739,monrovia,lr,86,74,75,14.99,1513782000
11.72470224,60.00438917,salalah,om,78.8,29,0,14.99,1513781400
-7.250443679,-38.17616748,itaporanga,br,88.5,46,68,6.17,1513783810
18.21601243,-77.22702658,bamboo,jm,79.05,100,80,18.14,1513783810
89.08075307,56.52222992,belushya guba,ru,,,,,
3.517633148,53.49882814,hobyo,so,80.04,67,36,26.87,1513783810
-41.45889511,-24.11939453,arraial do cabo,br,89.6,55,0,20.8,1513782000
88.64616478,-157.8944064,barrow,us,1.4,84,1,10.29,1513781580
41.71496592,82.99785665,kuche,cn,,,,,
-17.65315593,-176.418576,neiafu,to,73.4,94,75,13.11,1513782000
39.25192913,77.58163197,shache,cn,21.49,84,32,5.73,1513783811
-72.70756858,128.2467057,new norfolk,au,55.4,47,75,12.75,1513782000
-20.94845023,89.18918855,bengkulu,id,76.53,100,64,5.28,1513783812
-7.926830248,149.0776579,popondetta,pg,68.65,95,64,1.7,1513783812
65.16471376,-96.77026661,thompson,ca,-25.61,74,75,4.7,1513782000
-39.35897907,22.38046179,bredasdorp,za,75.2,53,0,14.99,1513782000
-53.65866829,-154.7334479,mataura,pf,,,,,
-82.49922384,150.4585864,hobart,au,55.4,47,75,12.75,1513782000
-2.702033903,-21.09648371,georgetown,sh,82.4,78,40,4.7,1513782000
-26.58054005,15.7118786,luderitz,na,68,64,8,16.11,1513778400
-19.01462639,-98.74103927,puerto ayora,ec,77,69,90,11.41,1513782000
48.4983613,113.730729,aksha,ru,19.69,44,0,10.65,1513783814
8.053724692,73.14320152,dhidhdhoo,mv,82.87,100,20,10.09,1513783815
7.976939767,-166.636734,nanakuli,us,69.8,93,1,9.17,1513781760
-45.45443823,-49.13224638,mar del plata,ar,75.2,60,75,11.41,1513782000
12.71266721,14.66553665,kousseri,cm,98.6,7,0,5.82,1513782000
31.46179798,-78.29380084,mount pleasant,us,64.4,100,90,6.93,1513781700
48.174496,-66.47615363,dalhousie,ca,44.8,67,80,1.81,1513783816
88.2748561,-106.0808441,yellowknife,ca,-5.81,76,90,8.05,1513782000
-62.50095172,-118.5509208,rikitea,pf,77.11,100,92,11.65,1513783816
-66.12991122,117.8372212,albany,au,37.4,55,20,24.16,1513781640
-17.71664108,69.53748041,quatre cocos,mu,80.6,69,40,5.82,1513782000
34.47636376,-169.2811197,kapaa,us,66.2,93,1,10.29,1513781760
-17.33377059,-144.9076256,tautira,pf,77,83,68,2.24,1513782000
44.22139904,-48.08190752,torbay,ca,39.2,93,90,16.11,1513782000
86.17495531,80.49493707,dikson,ru,0.12,100,36,5.84,1513783817
11.21264347,41.3804057,asayita,et,,,,,
19.33618528,-93.8054335,paraiso,mx,77,60,20,16.11,1513782000
80.05644908,138.1113018,nizhneyansk,ru,,,,,
33.7060711,26.2391597,koutsouras,gr,,,,,
-25.38317729,-83.93457314,coquimbo,cl,62.6,77,90,6.93,1513782000
65.74798173,86.85532001,turukhansk,ru,0.48,84,64,9.98,1513783818
50.37572017,-69.749754,forestville,ca,51.8,49,1,4.7,1513782360
59.46426196,-54.45419516,paamiut,gl,25.99,100,48,14.9,1513783819
-66.7630009,79.45865039,busselton,au,65.86,100,0,19.6,1513783819
1.414598046,-81.15950558,muisne,ec,73.74,100,88,3.94,1513783820
-20.32602102,118.0631734,port hedland,au,80.6,83,12,6.93,1513782000
0.331166892,144.5182895,lorengau,pg,84.49,97,32,10.76,1513783820
-8.643147133,132.477099,tual,id,83.05,100,80,9.64,1513783821
-8.256240512,117.8174796,sumbawa,id,,,,,
2.0784632,138.8145801,biak,id,,,,,
-14.99377112,135.7950156,ngukurr,au,,,,,
19.82177108,2.922378805,tessalit,ml,66.04,40,0,12.44,1513783821
-7.747647881,13.2831624,caxito,ao,84.2,66,40,10.29,1513782000
-6.887288605,-84.89422875,paita,pe,73.4,73,75,12.75,1513782000
-23.11125317,-32.3885684,vila velha,br,86,58,20,11.41,1513782000
-27.83282325,-5.014218576,jamestown,sh,33.8,68,90,13.87,1513782720
-77.33473165,-17.67116019,ushuaia,ar,51.8,76,75,10.29,1513782000
-58.42893048,36.84433598,port alfred,za,72.93,78,0,9.42,1513783823
11.55774571,4.326218749,jega,ng,94.84,27,80,1.7,1513783823
26.79300152,-147.8837452,hilo,us,69.8,88,75,3.36,1513781760
21.9808136,121.3490818,taitung,tw,59.74,100,32,21.39,1513783824
25.13960784,-67.77248875,cockburn town,tc,78.91,100,44,14.9,1513783741
18.70522345,97.58021007,mae hong son,th,55.06,46,0,3.83,1513783824
31.56008724,100.6652994,yaan,cn,,,,,
42.73061598,-153.6554302,kodiak,us,24.8,85,1,4.7,1513781580
42.57575438,-55.38229044,saint-pierre,pm,80.6,61,75,3.36,1513782000
-8.311715401,144.7938473,kerema,pg,73.02,91,24,2.15,1513783826
60.59595814,67.5657634,kondinskoye,ru,15.64,86,80,3.94,1513783826
9.431886314,-69.17610174,villa bruzual,ve,86.52,53,12,4.16,1513783826
-0.517896787,34.50499616,homa bay,ke,77.29,75,44,3.6,1513783827
-21.4860615,16.08088661,omaruru,na,75.9,74,56,4.94,1513783827
-34.33086367,-60.5980474,chacabuco,ar,79.32,71,0,10.98,1513783703
-1.071164633,103.9832193,simpang,id,78.37,85,80,5.95,1513783828
81.20981538,-134.8839992,tuktoyaktuk,ca,3.2,84,90,6.93,1513782000
-1.612918704,177.5270559,rungata,ki,,,,,
10.31268516,-97.91966131,puerto escondido,mx,78.8,78,5,6.06,1513780860
-48.89472177,63.67934115,saint-philippe,re,80.6,61,75,3.36,1513782000
80.28666329,11.58507057,barentsburg,sj,,,,,
37.27876827,170.3946527,nikolskoye,ru,,,,,
22.63617466,-97.33958839,miramar,mx,78.8,61,75,10.29,1513781760
-87.79197527,-5.078829337,hermanus,za,86.7,26,0,6.4,1513783829
18.89090994,-2.345132515,araouane,ml,68.43,35,0,15.12,1513783830
72.74460841,-27.81224814,illoqqortoormiut,gl,,,,,
-16.05644571,167.6411797,lakatoro,vu,74.32,100,88,7.4,1513783830
-50.47748715,62.44410437,taolanaro,mg,,,,,
12.21222666,-65.21805682,la asuncion,ve,79.68,99,76,16.69,1513783831
45.76175403,97.83926631,hovd,mn,-15.68,59,0,1.48,1513783831
53.80601555,-70.47465102,hauterive,ca,39.2,100,90,1.12,1513782000
45.92960802,92.4511904,hami,cn,8.4,62,0,2.93,1513783831
0.94550921,-5.629585972,tabou,ci,80.22,100,32,11.32,1513783832
74.44179097,-124.197741,norman wells,ca,5,84,90,3.36,1513782000
-66.17448796,-14.09037025,cape town,za,69.8,60,0,20.8,1513782000
-89.11710703,-171.4726505,vaini,to,68,88,20,11.43,1513782000
-7.135154271,156.1104139,buin,pg,82.4,28,0,8.05,1513782000
35.05368178,124.6750459,yatou,cn,21.31,100,0,5.84,1513783833
73.78135126,65.91735246,amderma,ru,,,,,
18.13435711,-19.27645948,nouakchott,mr,72.07,87,64,13.22,1513783734
22.48511209,112.4756328,sanbu,cn,,,,,
3.503250907,-136.1200157,atuona,pf,79.5,100,0,11.65,1513783833
67.1008661,-1.362281984,brae,gb,48.2,87,20,20.8,1513783200
67.07640978,-41.89517535,tasiilaq,gl,21.2,67,5,5.82,1513781400
